hard_text,profession,gender
"Keiko Nguyen is a collaborative accountant based in Dublin. After earning a degree from University of British Columbia in 2004, she specializes in nonprofit audits and clean energy startups. She is known for clear communication and runs community workshops. She has earned a national fellowship for this work.",0,1
"Nadia Patel is a story first accountant based in Tokyo. After earning a degree from Seoul National University in 2003, she specializes in nonprofit audits and clean energy startups. She is known for clear communication and runs community workshops.",0,1
"Maya Brown, a accountant in Nairobi, brings 7 years of experience. She studied at University of Melbourne and specializes in nonprofit audits and clean energy startups. Outside work, she builds DIY synthesizers. She has earned a national fellowship for this work.",0,1
"Monique Lee, a accountant in San Diego, brings 20 years of experience. She studied at University of Nairobi and helps artists and freelancers build sustainable budgets. Outside work, she gardens on a balcony. She has earned an industry innovation prize for this work.",0,1
"With a career spanning 18 years, Nadia Patel is a accountant who runs tax strategy for cross border clients. She operates out of Cairo and is valued for steady leadership. She also runs community workshops. She has earned a startup grant for this work.",0,1
"Priya Okoye is a collaborative accountant based in Seattle. After earning a degree from University of British Columbia in 2004, she runs tax strategy for cross border clients. She is known for careful listening and runs community workshops.",0,1
"With a career spanning 21 years, Rachel Okoye is a accountant who helps artists and freelancers build sustainable budgets. She operates out of Chicago and is valued for analytical precision. She also collaborates across disciplines. She has earned a national fellowship for this work.",0,1
"With a career spanning 10 years, Camille Lee is a accountant who helps artists and freelancers build sustainable budgets. She operates out of Austin and is valued for creative risk taking. She also volunteers with a local nonprofit.",0,1
"Based in Tokyo, Priya Johansson works as a accountant. She trained at University of Melbourne and has spent 14 years in the field. She helps artists and freelancers build sustainable budgets, and recently led a citywide pilot program.",0,1
"Based in Cairo, Aisha Okoye works as a accountant. She trained at Stanford University and has spent 12 years in the field. She specializes in nonprofit audits and clean energy startups, and recently led a new client onboarding system.",0,1
"Tariq Rossi is a detail obsessed accountant based in Toronto. After earning a degree from University of Texas at Austin in 2019, he helps artists and freelancers build sustainable budgets. He is known for analytical precision and volunteers with a local nonprofit. He has earned a community leadership medal for this work.",0,0
"Nikolai Nguyen is a empathetic accountant based in Lisbon. After earning a degree from Trinity College Dublin in 2021, he specializes in nonprofit audits and clean energy startups. He is known for rigorous ethics and runs community workshops. He has earned a community leadership medal for this work.",0,0
"With a career spanning 22 years, Colin Johansson is a accountant who runs tax strategy for cross border clients. He operates out of Nairobi and is valued for patient coaching. He also volunteers with a local nonprofit. He has earned a national fellowship for this work.",0,0
